Episode,Timestep,Reward
61,3000,38.4403
114,6000,49.1449
171,9000,43.5342
224,12000,46.642
277,15000,50.1423
332,18000,42.3783
377,21000,61.1521
420,24000,62.9665
462,27000,62.9344
507,30000,55.8257
545,33000,75.3581
582,36000,74.3926
622,39000,67.6968
662,42000,72.1316
700,45000,68.9932
733,48000,91.5668
761,51000,102.2451
788,54000,109.1931
814,57000,110.0316
845,60000,104.9523
866,63000,144.6823
886,66000,156.8644
900,69000,215.1225
921,72000,164.7225
929,75000,416.4605
942,78000,225.6693
954,81000,336.0046
964,84000,356.1684
974,87000,275.0561
991,90000,197.9905
1003,93000,324.5607
1016,96000,282.3756
1025,99000,366.4476
1038,102000,299.3911
1047,105000,351.1301
1057,108000,413.3215
1065,111000,492.6447
1072,114000,583.473
1085,117000,303.5307
1092,120000,486.3167
1102,123000,436.3454
1113,126000,314.4444
1123,129000,374.5703
1130,132000,599.9347
1138,135000,431.5404
1146,138000,490.439
1157,141000,390.8269
1164,144000,566.0941
1173,147000,396.0393
1183,150000,394.7499
1189,153000,648.7467
1197,156000,422.5071
1204,159000,568.5273
1214,162000,402.4251
1229,165000,234.1491
1237,168000,529.8863
1244,171000,481.6632
1251,174000,568.8385
1260,177000,478.3431
1266,180000,647.4427
1272,183000,637.0034
1282,186000,377.53
1291,189000,391.9527
1301,192000,466.9872
1309,195000,445.0818
1315,198000,699.0988
1321,201000,671.5496
1329,204000,483.0767
1337,207000,543.0394
1347,210000,448.637
1353,213000,572.8219
1361,216000,577.5664
1369,219000,521.7368
1376,222000,594.7367
1383,225000,565.2217
1393,228000,382.0121
1401,231000,547.1081
1408,234000,635.5417
1415,237000,498.2574
1422,240000,622.8731
1434,243000,328.8099
1443,246000,443.2319
1451,249000,559.7001
1461,252000,386.108
1467,255000,620.7634
1475,258000,538.6738
1482,261000,617.8425
1488,264000,723.5237
1499,267000,404.7171
1507,270000,488.185
1517,273000,427.2362
1525,276000,523.6859
1531,279000,726.5123
1537,282000,624.7975
1544,285000,624.1488
1553,288000,516.0363
1562,291000,487.7557
1568,294000,592.5918
1577,297000,504.7259
1583,300000,713.282
1590,303000,606.8804
1598,306000,572.3822
1604,309000,591.9468
1612,312000,528.8188
1621,315000,492.2719
1627,318000,605.3755
1634,321000,599.4068
1641,324000,639.7222
1649,327000,531.5973
1655,330000,733.4186
1662,333000,600.574
1668,336000,672.2042
1677,339000,434.4588
1683,342000,713.3356
1692,345000,478.2266
1699,348000,472.1739
1706,351000,621.8278
